Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression_Registration,Chrome 67.0.3396.99,,2018-07-27 15:48:15,2018-07-27 15:48:43,28.165s,FAILED
,,,,,,
Test Cases/TC001_RegistrationEmail/Verify_Email_is_Invalid,Chrome 67.0.3396.99,,2018-07-27 15:48:15,2018-07-27 15:48:32,16.788s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-27 15:48:15,2018-07-27 15:48:31,15.681s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-27 15:48:31,2018-07-27 15:48:32,0.392s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-27 15:48:32,2018-07-27 15:48:32,0.192s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-27 15:48:32,2018-07-27 15:48:32,0.063s,PASSED
verifyElementText,Chrome 67.0.3396.99,,2018-07-27 15:48:32,2018-07-27 15:48:32,0.076s,PASSED
,,,,,,
Test Cases/TC001_RegistrationEmail/Verify_MaximumChar_Email,Chrome 67.0.3396.99,,2018-07-27 15:48:32,2018-07-27 15:48:33,1.104s,PASSED
clearText,Chrome 67.0.3396.99,,2018-07-27 15:48:32,2018-07-27 15:48:32,0.062s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-27 15:48:32,2018-07-27 15:48:33,0.774s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-27 15:48:33,2018-07-27 15:48:33,0.063s,PASSED
verifyElementText,Chrome 67.0.3396.99,,2018-07-27 15:48:33,2018-07-27 15:48:33,0.028s,PASSED
,,,,,,
Test Cases/TC001_RegistrationEmail/Verify_MinimumChar_KN,Chrome 67.0.3396.99,,2018-07-27 15:48:33,2018-07-27 15:48:34,0.809s,PASSED
clearText,Chrome 67.0.3396.99,,2018-07-27 15:48:33,2018-07-27 15:48:33,0.043s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-27 15:48:33,2018-07-27 15:48:34,0.396s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-27 15:48:34,2018-07-27 15:48:34,0.097s,PASSED
